[4.189229, 2.069497, 1.013399];17.943;17.768;17.8555
[4.189229, 2.069497, 1.013399];17.768;17.809;17.7885
[4.189229, 2.069497, 1.013399];18.062;17.819;17.9405
[4.189229, 2.069497, 1.013399];17.809;17.621;17.715
[4.189229, 2.069497, 1.013399];17.735;17.968;17.8515
[4.189229, 2.069497, 1.013399];17.819;17.825;17.822
[4.189229, 2.069497, 1.013399];17.639;17.862;17.7505
[4.189229, 2.069497, 1.013399];17.621;17.911;17.766
[4.189229, 2.069497, 1.013399];17.813;17.85;17.8315
[4.189229, 2.069497, 1.013399];17.968;17.876;17.922
