[3.812859, 2.302009, 1.002005];22.538;22.113;22.325499999999998
[3.812859, 2.302009, 1.002005];22.113;22.214;22.1635
[3.812859, 2.302009, 1.002005];22.442;22.108;22.275
[3.812859, 2.302009, 1.002005];22.214;22.033;22.1235
[3.812859, 2.302009, 1.002005];22.275;22.591;22.433
[3.812859, 2.302009, 1.002005];22.108;21.992;22.05
[3.812859, 2.302009, 1.002005];22.361;21.983;22.172
[3.812859, 2.302009, 1.002005];22.033;22.129;22.081000000000003
[3.812859, 2.302009, 1.002005];22.149;22.193;22.171
[3.812859, 2.302009, 1.002005];22.591;22.368;22.4795
