[2.716617, 3.216222, 8.428951];50.463;50.431;50.447
[2.716617, 3.216222, 8.428951];50.431;50.762;50.5965
[2.716617, 3.216222, 8.428951];50.325;50.573;50.449
[2.716617, 3.216222, 8.428951];50.762;50.415;50.588499999999996
[2.716617, 3.216222, 8.428951];50.522;50.569;50.545500000000004
[2.716617, 3.216222, 8.428951];50.573;50.653;50.613
[2.716617, 3.216222, 8.428951];50.425;50.655;50.54
[2.716617, 3.216222, 8.428951];50.415;50.476;50.445499999999996
[2.716617, 3.216222, 8.428951];50.445;50.406;50.4255
[2.716617, 3.216222, 8.428951];50.569;50.547;50.558
