[3.828617, 1.724339, 1.048211];35.457;35.376;35.4165
[3.828617, 1.724339, 1.048211];35.376;35.166;35.271
[3.828617, 1.724339, 1.048211];35.091;34.745;34.918
[3.828617, 1.724339, 1.048211];35.166;34.744;34.955
[3.828617, 1.724339, 1.048211];34.653;34.784;34.7185
[3.828617, 1.724339, 1.048211];34.745;35.002;34.8735
[3.828617, 1.724339, 1.048211];35.516;35.312;35.414
[3.828617, 1.724339, 1.048211];34.744;35.436;35.09
[3.828617, 1.724339, 1.048211];35.074;35.367;35.2205
[3.828617, 1.724339, 1.048211];34.784;35.487;35.1355
