[3.590471, 2.806397, 1.689416];12.745;12.613;12.678999999999998
[3.590471, 2.806397, 1.689416];12.613;12.6;12.6065
[3.590471, 2.806397, 1.689416];12.699;12.713;12.706
[3.590471, 2.806397, 1.689416];12.6;12.673;12.6365
[3.590471, 2.806397, 1.689416];12.636;12.793;12.7145
[3.590471, 2.806397, 1.689416];12.713;12.671;12.692
[3.590471, 2.806397, 1.689416];12.723;12.621;12.672
[3.590471, 2.806397, 1.689416];12.673;12.652;12.6625
[3.590471, 2.806397, 1.689416];12.603;12.645;12.623999999999999
[3.590471, 2.806397, 1.689416];12.793;12.698;12.7455
