[2.83751, 1.380756, 2.640212];12.535;12.47;12.502500000000001
[2.83751, 1.380756, 2.640212];12.47;12.394;12.432
[2.83751, 1.380756, 2.640212];12.59;12.537;12.563500000000001
[2.83751, 1.380756, 2.640212];12.394;12.561;12.4775
[2.83751, 1.380756, 2.640212];12.512;12.508;12.51
[2.83751, 1.380756, 2.640212];12.537;12.436;12.4865
[2.83751, 1.380756, 2.640212];12.256;12.325;12.2905
[2.83751, 1.380756, 2.640212];12.561;12.314;12.4375
[2.83751, 1.380756, 2.640212];12.441;12.331;12.386
[2.83751, 1.380756, 2.640212];12.508;12.578;12.543
