scenario,chain_length,graph,run_dir,stdout_log,run_index,seed,level,node,node_index,reqs_total,reqs_cold,reqs_warm,reqs_init_free,reqs_init_reserved,reqs_queued,reqs_reject,prob_cold,prob_reject,prob_warm,prob_queued,inst_count_avg,inst_running_count_avg,inst_idle_count_avg,inst_init_free_count_avg,inst_init_reserved_count_avg,inst_queued_jobs_count_avg,external_arrivals,internal_arrivals,graph_event_avg_cost,graph_time_avg_cost,simulated_time,warm_service_rate,warm_service_mean_time,cold_service_rate,cold_service_mean_time,cold_start_rate,cold_start_mean_time,expiration_rate,expiration_mean_time,total_expected_warm_service_time,total_expected_cold_service_time,total_expected_cold_start_time,total_expected_expiration_time
event_budget,1,A1,/opt/Projects/Soft2/NSGD/logs/sanitycheck_event_budget_L01_arr10.0_20260427_114946,/opt/Projects/Soft2/NSGD/results_figures/run_logs/event_budget_L01.log,1,1,graph,ALL,,24759,194,24758,256,1,193,0,0.0078355345530918,0.0,0.9999596106466336,0.0077951451997253,21.040186684105464,10.17505117218463,9.79402804253612,0.236729004151836,0.0111635575107454,0.8232149077221356,24759.0,0.0,122.50616,118.55649112746887,2456.525365421357,1.0,1.0,100.0,0.01,0.1,10.0,0.01,100.0,1.0,0.01,10.0,100.0
event_budget,1,A1,/opt/Projects/Soft2/NSGD/logs/sanitycheck_event_budget_L01_arr10.0_20260427_114946,/opt/Projects/Soft2/NSGD/results_figures/run_logs/event_budget_L01.log,1,1,node,A1,1.0,24759,194,24758,256,1,193,0,0.0078355345530918,0.0,0.9999596106466336,0.0077951451997253,21.040186684105464,10.17505117218463,9.79402804253612,0.236729004151836,0.0111635575107454,0.8232149077221356,,,,,2456.525365421357,1.0,1.0,100.0,0.01,0.1,10.0,0.01,100.0,,,,
